,branch_code,branch_name_en,brnach_name_ar,invoice_counter,account_branch_code
0,6d135eb843444df69d148db44fc5c4f9,hello,اهلا,1,88
1,907554c4502d4c62b6304c8138599898,hello,اهلا,1,88
2,eba715ab7a08417eb808476e284f49f2,hello,اهلا,1,88
3,eee873b452be419aaa6f89fc24585d10,hello,اهلا,1,88
4,5418b63e0daa4863bb42044ef9ffd94a,hello,اهلا,1,88
5,24a7a994ca4d493cbc480b2b70a5f42f,hello,اهلا,1,88
6,733664a21e0b409d9d0ce69af02b32b6,hello,اهلا,1,88
7,a29185a6483b457690097d25ef3e835d,hello,اهلا,1,88
8,44428d73447c45f09e0272619a06617f,hello,اهلا,1,88
9,2d12b03841ee471fbf1b7d48b4910df2,hello,اهلا,1,88
10,2453bdb1eb58477f98ecb88d4596a38a,hello,اهلا,1,88
11,9602b150dde242b488298740d819cf0b,hello,اهلا,1,88
12,da465b918e7c42ccaf63b5c86757406d,hello,اهلا,1,88
13,d0bc2c65e03e4a41980f431ed2646f67,hello,اهلا,1,88
14,4477558741834f90915f15f7cf9b2e28,hello,اهلا,1,88
15,5835e11c8199444c844f3fc679ddcbf1,hello,اهلا,1,88
16,e896079164e548a98fb011c859cefb67,hello,اهلا,1,88
17,037fcf4804c4401cb7eacf9ac7a263d3,hello,اهلا,1,88
18,9eab7c3def254503b76c1f8bb302f280,hello,اهلا,1,88
19,a35845c951944ed28663c4f976708fe1,hello,اهلا,1,88
20,8ba7a1f3ce6646c3ac218892eb09f1be,hello,اهلا,1,88
21,0f4d348782ec40768830fc53069a176f,hello,اهلا,1,88
22,3e207b1261a448cd8fda2e267868a4fc,hello,اهلا,1,88
23,de0475f3ccf04ccbb1d83e2b9cc5ecca,hello,اهلا,1,88
