,branch_code,branch_name_en,brnach_name_ar,invoice_counter,account_branch_code
0,e9da3ab9f53148e29f71e027d49b5aac,hello,اهلا,1,88
1,3d38ab1ee83048849f7cffd30e371ef2,hello,اهلا,1,88
2,0c4f3c6e9ef64b8bad9eeee5a6ef4d18,hello,اهلا,1,88
3,3eceb2c863504299992c9e81495800a9,hello,اهلا,1,88
4,aca6c5b553f547c2b03eafe979310901,hello,اهلا,1,88
5,9f340c1070c84157b9e102e6099a652a,hello,اهلا,1,88
6,e9a025bcfc6e4bb699d849bb9ce887bd,hello,اهلا,1,88
7,5b8a1c88542b4c3cbb4a29f199ff3397,hello,اهلا,1,88
8,40d9655461374e2f9b3fb73fe68a30a6,hello,اهلا,1,88
9,91ebd926a942417d859f1f057bf49fb2,hello,اهلا,1,88
10,5a69d58cf9aa4b48b906901f47f90df4,hello,اهلا,1,88
11,836d83ed3a644e8ab66f2950617fc63d,hello,اهلا,1,88
12,14ce93bf46dd4123b58a8bf243952244,hello,اهلا,1,88
13,78b179ea898a4461a947359df110c877,hello,اهلا,1,88
14,0501f4eec7d142bda6a12f5be2975319,hello,اهلا,1,88
15,aadcff9d9899464585ea1c0dac34224c,hello,اهلا,1,88
16,e90f0a4abc7f4e9c93c5fd0d512da792,hello,اهلا,1,88
17,fd5c0e5e64804756956a0b87ee776da0,hello,اهلا,1,88
18,07d22af61d37437ba359f8ee76dba56b,hello,اهلا,1,88
19,2305473b325844aeb1606f40a5dfa1b1,hello,اهلا,1,88
20,2468b3c41de744fba93462490e343350,hello,اهلا,1,88
21,a4f0971df5644354b59349927e85537e,hello,اهلا,1,88
22,87b7f973b60a4896b485d2c5e2865c9b,hello,اهلا,1,88
23,76c71a424ba643749f53007fbbfc42f0,hello,اهلا,1,88
