,branch_code,branch_name_en,brnach_name_ar,invoice_counter,account_branch_code
0,39324ee5c41a40379c27cc68145b02db,hello,اهلا,1,88
1,dcc60b03ab83443dbe9e7902d44b32ee,hello,اهلا,1,88
2,61ba6e1d50104d8fb072d720a2254497,hello,اهلا,1,88
3,0bb12dabed7e4e6ea03df67ea721d31f,hello,اهلا,1,88
4,9ccd57e7457b4a1aa7813d1d66b3fea8,hello,اهلا,1,88
5,dc6d3c5388ac41aa9db59508a4eeacb7,hello,اهلا,1,88
6,724150d0575f4dd8bd9bf873b1534c22,hello,اهلا,1,88
7,17f15862a9cb459aa7eec54559c787ce,hello,اهلا,1,88
8,faea6d17d3844ea396cf19977ad6e3d1,hello,اهلا,1,88
9,978d7a58ea114b138bd1dd38d729dbf4,hello,اهلا,1,88
10,ada12ff378ff4fc1b582873468341fa8,hello,اهلا,1,88
11,eeb65fa6b6e441c49f8cdf9152d9c381,hello,اهلا,1,88
12,df4f0d8cc5374404921819030802267e,hello,اهلا,1,88
13,69a0629ecf8a4fe383518fbebf0b04e4,hello,اهلا,1,88
14,c93afb276b2045df9a9d0d77af7408c2,hello,اهلا,1,88
15,7776c6431eff40caa6a86517c11cd733,hello,اهلا,1,88
16,13670f36315447fc86025cbac0eee7a7,hello,اهلا,1,88
17,5d6e9e2377334a7bb43e7106002c935e,hello,اهلا,1,88
18,6c284e0a8b5344afb674de7f60b37a38,hello,اهلا,1,88
19,6ed3a61359464437b03b2ee08a7b4033,hello,اهلا,1,88
20,db416cdd41da4a53bf8edfd77038150c,hello,اهلا,1,88
21,317bf65a1a0b403a997bc40ab0c321ea,hello,اهلا,1,88
22,f1be3419c6854564ae13bc875c4a6720,hello,اهلا,1,88
23,dea21c6a84a84dae943f88bdb2af7282,hello,اهلا,1,88
