,branch_code,branch_name_en,brnach_name_ar,invoice_counter,account_branch_code
0,caac55b598ab49d3af368de8a18d86e9,hello,اهلا,1,88
1,c0ad8a8ecef8443190163588239e1651,hello,اهلا,1,88
2,6761affefe3d4e8097dfa032934bfb1e,hello,اهلا,1,88
3,45b3ced4111f48999e83c48add5be496,hello,اهلا,1,88
4,056442b4cac84a03bb3ed8597d9ac709,hello,اهلا,1,88
5,d416e5d28e5d4fd9a34d592a51b8b78a,hello,اهلا,1,88
6,da83bd826a294805bd461dc97c1a2fd0,hello,اهلا,1,88
7,bb8accd7cf5541a9af0ededdb45063d8,hello,اهلا,1,88
8,68d596e26ad9461f8551b46c2750a824,hello,اهلا,1,88
9,5ca0a6a8235040b9bd7e3413aa4164e1,hello,اهلا,1,88
10,1e1c11cfd5104dc280fccfaac76e5abe,hello,اهلا,1,88
11,95d57fdeba1841ed8b9b58bf267589b0,hello,اهلا,1,88
12,454fa1235af14ff2bdad87ccd7b4e723,hello,اهلا,1,88
13,5858e1013b8748b7b337d4f1824e010a,hello,اهلا,1,88
14,3ad5671824f94dd485e9cfcf92f6f374,hello,اهلا,1,88
15,5ebe7b71b35447aead7507fe02000c67,hello,اهلا,1,88
16,a650429f035649f3a458d999e42ee8b5,hello,اهلا,1,88
17,9eb9e5a1122b4fdbad6750fec5adbfb2,hello,اهلا,1,88
18,50e160eab6d84086977c95dfaa5c252d,hello,اهلا,1,88
19,b5e7b8630d9d4cdfa6bc7a070b7ea7c7,hello,اهلا,1,88
20,7f63e2d0cc78417981ab037cb6f2f8c9,hello,اهلا,1,88
21,13fb35e99e244d0a8fe43568507fb83b,hello,اهلا,1,88
22,0fd35e8e19f24930bf421c558a2e8a22,hello,اهلا,1,88
23,cda731c2538d44a2945081956ac80afc,hello,اهلا,1,88
